,STORESpollen,STOREShoney,STORESnectar,BroodCells,BEESadult,WEIGHTcolony
0,0.0,50000.0,0.0,0.0,15000.0,50.0
1,0.0,49970.20160149846,0.0,4.099937563970838,14850.0,49.720101210742996
2,0.0,49940.601807847845,0.0,8.200247900208156,14701.493850507763,49.69045110899949
3,0.0,49911.28618410784,0.0,8.61210479440809,14554.466612467453,49.661090614511146
4,0.0,49882.216986694206,0.0,12.312060002710489,14408.909029073098,49.63200092152765
5,0.0,49853.366194991686,0.0,15.106020978606558,14264.80441244222,49.60316635082225
6,0.0,49824.73118095771,0.0,16.881695646528705,14122.136739822183,49.574585025118495
7,0.0,49796.23873182543,0.0,18.985406500638877,13980.89159558872,49.54626538719301
8,0.0,49767.99436954034,0.0,20.168483769233255,13841.05051833678,49.51816106686825
9,0.0,49739.967825553416,0.0,22.404235682363563,13702.605938285487,49.490432275487315
10,0.0,49712.14826911911,0.0,24.82957935576575,13565.542188839278,49.46295085430073
11,0.0,49684.54238814175,0.0,27.049018360152665,13429.844971057495,49.435718468331835
12,0.0,49657.13704967417,0.0,29.56072603333595,13295.501192757692,49.408739122137455
13,0.0,49629.917069706324,0.0,32.67315909649236,13162.496690180975,49.381991380804486
14,0.0,49602.883935359176,0.0,35.469607769639744,13030.817290518737,49.3554834694895
15,0.0,49576.02838021931,0.0,38.53128047340316,12900.449998382479,49.32920814749951
16,0.0,49549.34023097826,0.0,42.0877305852554,12771.381287605289,49.30315719123015
17,0.0,49522.81800161343,0.0,45.46427287342736,12643.597717043029,49.277330837681035
18,0.0,49496.441200337795,0.0,49.551697444256796,12517.086490924972,49.25172295010062
19,0.0,49470.19658508162,0.0,53.785027744493334,12391.833789582692,49.2263188371125
20,0.0,49444.11037153545,0.0,57.331291581759984,12267.826372480742,49.20100562699749
21,0.0,49418.15488045961,0.0,61.39938639799113,12145.817181425886,49.17598601488352
22,0.0,49392.33690059413,0.0,65.45511798887541,12025.044156736412,49.15115355240321
23,0.0,49366.637588542784,0.0,69.70878141543011,11905.526948144865,49.12652329852495
24,0.0,49341.035648915524,0.0,74.92438253966897,11787.286213484878,49.102076952820816
25,0.0,49315.52425789557,0.0,79.9628723518063,11670.25776412245,49.07781075950368
26,0.0,49290.101787606756,0.0,85.42872832195258,11554.476069020438,49.053724435408796
27,1.0169320111995432,49264.61276113134,3.8054302390847354,91.0842716452151,11439.91038948552,49.03162123997106
28,0.0,49240.84673778354,0.0,97.60919429264762,11326.136306967872,49.006718135034774
29,0.0,49215.58944735087,0.0,104.51480107663878,11213.960546273074,48.98312963673064
30,0.0,49190.37948294076,0.0,110.60450882056585,11103.026594017963,48.95969664340662
31,0.0,49165.18049912817,0.0,118.60191042101357,10993.246903795047,48.936410419825286
32,0.0,49139.968358484766,0.0,127.02421161678447,10884.656849769697,48.91325137931471
33,0.17502553327985818,49114.731792026585,1.1637877112013408,134.57477658139592,10777.29145182624,48.89076898455611
34,0.0,49089.9372611186,0.0,144.35826971610967,10670.942817494546,48.867556329746954
35,0.0,49064.61499771511,0.0,154.93883840524214,10565.893270680834,48.844755859659095
36,0.0,49039.23537780442,0.0,164.4125057648449,10461.974992586089,48.822083590013
37,0.0,49013.75105762648,0.0,176.04267944685742,10359.235805933386,48.79949830336975
38,0.0,48988.16224181587,0.0,187.28352491770133,10257.657344694037,48.776987922492864
39,0.0,48962.42704611255,0.0,200.47538130999052,10157.261639459568,48.75456176814098
40,0.0,48936.47666949178,0.0,215.04101301711128,10057.983177772909,48.732190894655815
41,0.0,48910.34551476339,0.0,228.97056478880398,9959.891796059468,48.70985176346837
42,0.0,48884.02802972775,0.0,243.6099859883618,9862.872697634568,48.68759355266773
43,0.0,48857.48887432116,0.0,258.5695173868723,9767.062128425503,48.665371952425204
44,0.0,48830.674425172554,0.0,276.28520292145987,9672.41992479752,48.64315775154095
45,0.0,48803.51529913441,0.0,293.80932729355004,9578.931678898653,48.62095952328359
46,2.1029066941627934,48775.65143155838,14.103728738707336,312.95464870712465,9486.60126167306,48.60508556302015
47,6.8287929690559,48752.99428762424,9.687193601486022,334.590509143386,9394.240964155359,48.584541886327955
48,0.0,48728.54740197974,0.0,358.1572678516495,9302.95871986498,48.55831515891351
49,0.0,48699.758199824355,0.0,380.0790709337591,9214.002528803421,48.536015021052776
50,0.5997031714270941,48670.546302537026,0.0,403.4042468863594,9126.26600021944,48.5137169947118
51,0.0,48640.784584500456,0.0,430.42102757804554,9039.74382757577,48.49114835420521
52,2.066020278665336,48610.0468893333,11.471833262922429,458.94791411021384,8954.469447266858,48.47378127057191
53,4.371766109472569,48582.95394885147,22.383746838500954,489.33646357641373,8869.159189722886,48.45810773281005
54,1.4349744844190866,48560.00829484028,4.3746397553438925,520.791098964757,8784.403115587716,48.43098503994957
55,0.0,48529.239228504164,0.0,555.8596972078527,8702.068443814003,48.406513012369544
56,0.0,48495.90740075026,0.0,593.4880457644617,8621.617210487388,48.38322488918938
57,0.0,48461.734988988894,0.0,629.3880568024799,8542.48065728402,48.35979565342706
58,8.770667307581856,48425.68660703138,30.481248552718792,667.8661205693375,8464.472511385016,48.350664212169484
59,0.0,48401.75225242469,0.0,712.6201745921219,8385.061213747356,48.317331443759926
60,0.0,48364.391647053584,0.0,760.7221202037792,8309.555311252978,48.29290097207927
61,0.0,48326.02447741406,0.0,802.4354759291838,8235.815464226209,48.2682704916532
62,0.0,48286.56961260611,0.0,849.6802728225285,8163.1791466075565,48.243345729937744
63,0.0,48245.88537619776,0.0,903.49013878345,8092.349310253498,48.21815527938453
